Date,Close/Last,Volume,Open,High,Low
2/2/22,$54.03 ,122040,$50.13 ,$50.13 ,$48.56 
2/1/22,$54.75 ,92398,$50.34 ,$50.78 ,$49.02 
1/31/22,$55.48 ,134884,$48.52 ,$50.32 ,$48.42 
1/28/22,$53.13 ,148992,$48.39 ,$48.76 ,$46.80 
1/27/22,$52.20 ,144200,$50.05 ,$50.80 ,$47.88 
1/26/22,$54.88 ,141629,$51.64 ,$52.34 ,$49.37 
1/25/22,$56.35 ,125095,$52.18 ,$52.54 ,$50.85 
1/24/22,$59.25 ,138019,$51.30 ,$53.21 ,$50.28 
1/21/22,$58.12 ,210268,$52.45 ,$53.03 ,$51.51 
1/20/22,$58.72 ,214926,$54.75 ,$55.22 ,$52.35 
1/19/22,$61.99 ,204323,$56.05 ,$56.05 ,$54.63 
1/18/22,$63.58 ,122466,$57.80 ,$57.80 ,$55.61 
1/14/22,$67.15 ,139251,$57.75 ,$58.31 ,$57.31 
1/13/22,$67.29 ,81147,$58.28 ,$58.47 ,$57.35 
1/12/22,$66.75 ,210547,$57.33 ,$58.36 ,$56.99 
1/11/22,$65.98 ,117101,$57.36 ,$57.36 ,$56.34 
1/10/22,$66.10 ,122856,$57.43 ,$57.57 ,$56.39 
1/7/22,$66.96 ,108229,$59.20 ,$59.46 ,$57.76 
1/6/22,$69.21 ,115890,$58.92 ,$59.87 ,$58.16 
1/5/22,$68.68 ,230883,$61.47 ,$61.65 ,$58.81 
1/4/22,$72.25 ,146391,$61.96 ,$62.99 ,$61.39 
1/3/22,$72.61 ,180832,$64.64 ,$65.16 ,$61.05 
